"radii","stat4","p_width","scale_labels","n_proteins","mean_pcc","median_pcc","mean_spearman","mean_rmse"
"6,9,12","median","0.0","False","364","0.7066066130899115","0.7045789177703783","0.6405251259817774","3.4927716766640247"
"6,9,12","median","0.25","False","364","0.7065995018894545","0.7045065494724891","0.6408285081438038","3.491997596693828"
"6,9,12","median","0.5","False","364","0.7067002016764491","0.7050519821484147","0.6410580665190639","3.493788126982445"
"6,9,12","median","1.0","False","364","0.7068195331714391","0.7054130068434005","0.6412938117048427","3.4948252801409248"
"6,9,12","median","0.0","True","364","0.6916464018415773","0.683721495927311","0.6584132897859819","3.601931872728316"
"6,9,12","median","0.5","True","364","0.6911544659368306","0.6854602206673083","0.6575404620425344","3.610853997472432"
