feature_set,n_proteins,n_residues,mean_pcc,pcc_ci95_low,pcc_ci95_high,mean_spearman,spearman_ci95_low,spearman_ci95_high,mean_rmse_z,rmse_z_ci95_low,rmse_z_ci95_high,pooled_pcc,pooled_spearman,pooled_rmse_z
residue_position,274,62065,0.3192620795975436,0.2935167120171638,0.34585533940732455,0.13829530821750355,0.11312033089394438,0.16421060172150834,0.9434557536370857,0.9308767243134684,0.9555657938796905,0.20287486029810678,0.07325183445753501,0.9944145173539746
classical_structural,274,62065,0.5752168730049116,0.5582071952119166,0.5923785599695038,0.5360199004003847,0.519715834098125,0.5530715060457129,0.8180180162956388,0.806469837229669,0.8291498276243972,0.5182525837011916,0.5273963195238682,0.858146015613065
simple_graph,274,62065,0.6289663004583801,0.614108795987721,0.6437719595804247,0.605957635155478,0.5877947720222528,0.623966957225919,0.7825919088202568,0.7705727293433156,0.7943885248153858,0.6117484912725285,0.6168880226553362,0.7921177601477557
psl,274,62065,0.6075422592614691,0.5917298661079817,0.6238365721729539,0.573400782383692,0.5555999268664779,0.5915346124229971,0.8366611271912885,0.8194926675365795,0.8541338439582716,0.5760109012208527,0.5507392464474072,0.8174917188540263
classical_plus_psl,274,62065,0.6267641644147937,0.6117638738984972,0.64248992206031,0.5923643902586305,0.5753033490296133,0.6100971545217319,0.7841421240306152,0.7722225814890239,0.7954951529565448,0.5927111655116336,0.5832006689783331,0.805958690516464
