dataset,n_proteins,n_residues,pooled_pcc_model,pooled_spearman_model,pooled_rmse_model_z,mean_pcc_model,pcc_model_ci95_low,pcc_model_ci95_high,mean_spearman_model,spearman_model_ci95_low,spearman_model_ci95_high,mean_rmse_model_z,rmse_model_z_ci95_low,rmse_model_z_ci95_high,mean_pcc_expl_abs,pcc_expl_abs_ci95_low,pcc_expl_abs_ci95_high,mean_spearman_expl_abs,spearman_expl_abs_ci95_low,spearman_expl_abs_ci95_high,mean_pcc_expl_signed,pcc_expl_signed_ci95_low,pcc_expl_signed_ci95_high,mean_spearman_expl_signed,spearman_expl_signed_ci95_low,spearman_expl_signed_ci95_high,mean_jaccard_top20_abs,jaccard_top20_abs_ci95_low,jaccard_top20_abs_ci95_high
small,30,907,0.5298210470021836,0.44077492514936684,0.9477396997037831,0.5826268227179802,0.4907196425959899,0.667393486363415,0.4972640157575457,0.4049355733692334,0.5863209097615308,1.003313237737434,0.9065824267585236,1.0992968083871024,,,,,,,,,,,,,,,
medium,36,3246,0.5842818324773764,0.5389102353542524,0.8292099502412935,0.5881239791196277,0.534071299655528,0.6332292971463735,0.5451773257716499,0.4926522044533986,0.5916969194242071,0.8268816709900995,0.7953446651863904,0.8587717339145992,,,,,,,,,,,,,,,
large,34,5404,0.5661301673593867,0.5615840636662289,0.8260729370821479,0.5725722165259629,0.5389983803866815,0.6041815755204305,0.5794628428030062,0.5415577734925394,0.6164860920300099,0.8275780510472617,0.8079036451337905,0.8476938036887471,,,,,,,,,,,,,,,
365_only,264,68862,0.5753354883480695,0.5543083228591807,0.8182615949529832,0.6100017426202606,0.5947597149177719,0.6241266222583336,0.5863678772878216,0.5709129924703356,0.6012903490418068,0.8316782923282171,0.8124050467945952,0.853499520488809,,,,,,,,,,,,,,,
all,364,78419,0.5711580065407403,0.5487053957708903,0.8208705532268851,0.6020856685260372,0.5884877295876645,0.615802857591914,0.574305385878552,0.5587552692586077,0.5895078393105518,0.8449666488956671,0.8276043865413638,0.8628286213537704,,,,,,,,,,,,,,,
