dataset,n_proteins,n_residues,pooled_pcc_model,pooled_spearman_model,pooled_rmse_model_z,mean_pcc_model,pcc_model_ci95_low,pcc_model_ci95_high,mean_spearman_model,spearman_model_ci95_low,spearman_model_ci95_high,mean_rmse_model_z,rmse_model_z_ci95_low,rmse_model_z_ci95_high,mean_pcc_expl_abs,pcc_expl_abs_ci95_low,pcc_expl_abs_ci95_high,mean_spearman_expl_abs,spearman_expl_abs_ci95_low,spearman_expl_abs_ci95_high,mean_pcc_expl_signed,pcc_expl_signed_ci95_low,pcc_expl_signed_ci95_high,mean_spearman_expl_signed,spearman_expl_signed_ci95_low,spearman_expl_signed_ci95_high,mean_jaccard_top20_abs,jaccard_top20_abs_ci95_low,jaccard_top20_abs_ci95_high
small,30,907,0.5123254145126149,0.4342515426704125,0.9530120505807604,0.5683902559146187,0.48423815287757765,0.6480035704168972,0.4952628705276198,0.4098373438785984,0.5802553384316907,1.0206646241883133,0.9263120341128276,1.1146159152248607,0.5200450929638968,0.4304032989324774,0.6053016128508532,0.3916483533518432,0.31544984432001105,0.4722824608217482,0.5683902559146187,0.4842381528775776,0.6480035704168972,0.4955438760880266,0.41024191311458147,0.579991457389617,0.35940278503745987,0.278795967190704,0.4438498373831191
medium,36,3246,0.5744525557828942,0.5359328502147671,0.834618263188465,0.5769724666491156,0.5247032600536615,0.6231681450842852,0.5416872362832645,0.48830809605984743,0.5901693158144814,0.8331021593402986,0.8023535169893999,0.8641943653299928,0.488626175977088,0.43229405115793934,0.5382686353437844,0.3639712299260025,0.31850962781415815,0.40849804132493234,0.5769724666491156,0.5247032600536615,0.6231681450842851,0.5416771591278742,0.48830706114268213,0.5901700009561973,0.3218228344415601,0.28267991819505195,0.3677383474904069
large,34,5404,0.554761051002851,0.5539369896970159,0.8338949902803873,0.5625269331161986,0.5289357433088041,0.5949828286061085,0.5716581843153749,0.5323055655685445,0.6101863654824548,0.8350480111599036,0.8165900266166737,0.8540117926050705,0.437687472706878,0.39107963803999685,0.4831526663870956,0.2752512432037529,0.23336663098043037,0.31778951024367674,0.5625269331161986,0.5289357433088041,0.5949828286061085,0.5716795283050652,0.5323434001236276,0.6101962177278647,0.3304121308253663,0.3003442099315526,0.3606068886496951
365_only,264,68862,0.5670276025861151,0.5431229437725316,0.8243942480398316,0.6052507288987067,0.5900053677070233,0.6196782749256969,0.5811767694413393,0.5658111843500905,0.5968156591119832,0.8367933292347516,0.8192970668304032,0.8564474805739232,0.4818789095169547,0.464592582650615,0.4996102407027111,0.2994262907425502,0.2797147694993268,0.3187463129319419,0.6052507288987067,0.5900053677070233,0.6196782749256969,0.5811674774993595,0.5658097099257836,0.5967827393991121,0.3386964618530881,0.3256737928564202,0.35257269869952473
all,364,78419,0.562437869285998,0.5382912872911706,0.8270778411792131,0.5954253423956485,0.5816645112692989,0.6089402114043458,0.5693012967617099,0.5542348380826485,0.5842355575391703,0.8514194718662398,0.8348553974752144,0.8678763355812242,0.4815640145840714,0.4650407040936537,0.49689848971322026,0.3111524667660776,0.29383810395752313,0.32783699691146684,0.5954253423956485,0.5816645112692989,0.6089402114043458,0.5693187143776027,0.5542341276848923,0.5842438804978082,0.33796039551730134,0.32580594815366776,0.35025066185479364
