dataset,n_proteins,n_residues,pooled_pcc_model,pooled_spearman_model,pooled_rmse_model_z,mean_pcc_model,pcc_model_ci95_low,pcc_model_ci95_high,mean_spearman_model,spearman_model_ci95_low,spearman_model_ci95_high,mean_rmse_model_z,rmse_model_z_ci95_low,rmse_model_z_ci95_high,mean_pcc_expl_abs,pcc_expl_abs_ci95_low,pcc_expl_abs_ci95_high,mean_spearman_expl_abs,spearman_expl_abs_ci95_low,spearman_expl_abs_ci95_high,mean_pcc_expl_signed,pcc_expl_signed_ci95_low,pcc_expl_signed_ci95_high,mean_spearman_expl_signed,spearman_expl_signed_ci95_low,spearman_expl_signed_ci95_high,mean_jaccard_top20_abs,jaccard_top20_abs_ci95_low,jaccard_top20_abs_ci95_high
small,30,907,0.5284427845411548,0.4404665546150382,0.9486071167755533,0.5812203750893293,0.49100313461619255,0.6647773895484045,0.49842947309955454,0.4051259328783338,0.5892482923186644,1.0042612404946685,0.9073459790454252,1.1000470394246793,,,,,,,,,,,,,,,
medium,36,3246,0.5844692692856857,0.5389340755177108,0.8290837596410949,0.588278112217423,0.5341763831567496,0.6328680229519216,0.5453902968992272,0.4926487505812019,0.5919067183916084,0.8267426629296255,0.7953923195630651,0.8587006824785975,,,,,,,,,,,,,,,
large,34,5404,0.5655786581486535,0.5614401625976404,0.8264391998912424,0.5719154374089961,0.5376012605879243,0.6038735872444454,0.5792559378584613,0.5411888842909126,0.6165038300560917,0.827883172338153,0.8081757797352995,0.8482198637985504,,,,,,,,,,,,,,,
365_only,264,68862,0.5752824415290755,0.5542459229699491,0.8182947026117223,0.6097760016871322,0.5941019145142626,0.623932901156244,0.5839095879125309,0.5681553451805905,0.5994205424210494,0.831400044340196,0.8122486334199623,0.8530861264276016,,,,,,,,,,,,,,,
all,364,78419,0.57106812306411,0.5486385197872863,0.8209312498308692,0.6017599247522414,0.5880361657222938,0.6156070117348085,0.572620241696304,0.5573939885069822,0.5880735224124579,0.8448577270483942,0.827697325031029,0.862388334769991,,,,,,,,,,,,,,,
