protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
cluster,graph+identity0+identity1,graph+geometric0+geometric_p1,right_minus_left,spearman,364,-0.0005204941600877102,-0.0040167241020232225,0.0029536660967451325
cluster,graph+identity0+identity1,graph+geometric0+geometric_p1,right_minus_left,rmse_z,364,0.0009532140955104374,-0.0009134822716722497,0.00302020680483058
cluster,graph+identity0+identity1,graph+geometric0+geometric_upper1,right_minus_left,pcc,364,-0.0007335394077139774,-0.0026745507662376163,0.001184617806642401
cluster,graph+identity0+identity1,graph+geometric0+geometric_upper1,right_minus_left,spearman,364,-0.0004837840475346761,-0.003640055890935033,0.0025185090848387896
cluster,graph+identity0+identity1,graph+geometric0+geometric_upper1,right_minus_left,rmse_z,364,0.0012961065151894228,-0.0005060105078346997,0.0030995981487080405
cluster,graph+identity0+identity1,graph+center0,right_minus_left,pcc,364,-0.0023424778594681437,-0.004698200205876535,-0.0001272791104495804
cluster,graph+identity0+identity1,graph+center0,right_minus_left,spearman,364,-0.003379555755538244,-0.007278027224750034,0.00032508404691193463
cluster,graph+identity0+identity1,graph+center0,right_minus_left,rmse_z,364,0.00019335759900631944,-0.0018914508650986245,0.002182886809283811
cluster,graph+identity0+identity1,graph+center0+center1,right_minus_left,pcc,364,-0.0027439172253608275,-0.0052004663975851115,-0.0005300998489428412
cluster,graph+identity0+identity1,graph+center0+center1,right_minus_left,spearman,364,-0.003182091697858737,-0.006420171259598681,0.0003427641596186238
cluster,graph+identity0+identity1,graph+center0+center1,right_minus_left,rmse_z,364,0.0018706340415553609,-0.00026799634017721707,0.0038531188981598893
cluster,graph+identity0+identity1,graph+center0+center_p1,right_minus_left,pcc,364,-0.0023206710819746483,-0.004909461462598401,0.00015376873606227944
cluster,graph+identity0+identity1,graph+center0+center_p1,right_minus_left,spearman,364,-0.0016312104810128887,-0.004983575575739286,0.0018241254671607482
cluster,graph+identity0+identity1,graph+center0+center_p1,right_minus_left,rmse_z,364,0.0016125751422883705,-0.0005021461169067702,0.003643918417953567
cluster,graph+identity0+identity1,graph+center0+center_upper1,right_minus_left,pcc,364,-0.0017947802881850942,-0.004295188653699464,0.0006915594756557779
cluster,graph+identity0+identity1,graph+center0+center_upper1,right_minus_left,spearman,364,-0.000677629515191696,-0.00404567298647081,0.002555179504447709
cluster,graph+identity0+identity1,graph+center0+center_upper1,right_minus_left,rmse_z,364,0.0009165058284628302,-0.0011174574838607094,0.0027295209649227685
cluster,graph+identity0+identity_p1,graph+identity0+identity_upper1,right_minus_left,pcc,364,-1.9479045534163033e-05,-0.001170386612817955,0.0013302373071109519
cluster,graph+identity0+identity_p1,graph+identity0+identity_upper1,right_minus_left,spearman,364,0.0012137185755869784,-0.0007010830845970127,0.0032256437519280028
cluster,graph+identity0+identity_p1,graph+identity0+identity_upper1,right_minus_left,rmse_z,364,8.348006520398593e-06,-0.001161006832561808,0.0009965234472682784
cluster,graph+identity0+identity_p1,graph+geometric0,right_minus_left,pcc,364,0.0013277448188885252,-0.0007445807296595681,0.0032933116452736064
cluster,graph+identity0+identity_p1,graph+geometric0,right_minus_left,spearman,364,0.002183147918834634,-0.0006291815798315702,0.0051011539124337915
cluster,graph+identity0+identity_p1,graph+geometric0,right_minus_left,rmse_z,364,-0.0005361447197163476,-0.0022016321743824055,0.0012963594430931192
cluster,graph+identity0+identity_p1,graph+geometric0+geometric1,right_minus_left,pcc,364,0.0006908425152648065,-0.001532601552103203,0.0027680216371514434
cluster,graph+identity0+identity_p1,graph+geometric0+geometric1,right_minus_left,spearman,364,0.0010361276200060944,-0.0015708409560967786,0.0037036096014284136
cluster,graph+identity0+identity_p1,graph+geometric0+geometric1,right_minus_left,rmse_z,364,0.0010457913423852765,-0.0007824136898167753,0.002935098302215949
cluster,graph+identity0+identity_p1,graph+geometric0+geometric_p1,right_minus_left,pcc,364,0.0007771407642752771,-0.0014146669096105889,0.00279421417407825
cluster,graph+identity0+identity_p1,graph+geometric0+geometric_p1,right_minus_left,spearman,364,-0.0006543183344672746,-0.0037899758950110953,0.0024671026916299314
cluster,graph+identity0+identity_p1,graph+geometric0+geometric_p1,right_minus_left,rmse_z,364,0.0012244507729527669,-0.0005236716551988024,0.0031293240589308417
cluster,graph+identity0+identity_p1,graph+geometric0+geometric_upper1,right_minus_left,pcc,364,-0.00036485463245564104,-0.002422563965066024,0.0015627311910649344
cluster,graph+identity0+identity_p1,graph+geometric0+geometric_upper1,right_minus_left,spearman,364,-0.0006176082219142405,-0.003523219052691633,0.0021918716806974886
cluster,graph+identity0+identity_p1,graph+geometric0+geometric_upper1,right_minus_left,rmse_z,364,0.0015673431926317525,-0.0001266905154159246,0.0034038617343646617
cluster,graph+identity0+identity_p1,graph+center0,right_minus_left,pcc,364,-0.0019737930842098073,-0.004285000479384718,0.00040155498507926364
cluster,graph+identity0+identity_p1,graph+center0,right_minus_left,spearman,364,-0.0035133799299178078,-0.006869070836300704,-0.000293346500994587
cluster,graph+identity0+identity_p1,graph+center0,right_minus_left,rmse_z,364,0.0004645942764486489,-0.0015584982902952524,0.0024456206096972358
cluster,graph+identity0+identity_p1,graph+center0+center1,right_minus_left,pcc,364,-0.0023752324501024906,-0.004785166031512611,-0.00011545283272377457
