protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
cluster,center0,graph+identity0,right_minus_left,spearman,364,0.05236630805839013,0.043806953311062345,0.061593330333756226
cluster,center0,graph+identity0,right_minus_left,rmse_z,364,-0.09348333219571368,-0.10821369231130702,-0.0799872918651691
cluster,center0,graph+geometric0,right_minus_left,pcc,364,0.06544849308610289,0.05650193959856481,0.07566218981899536
cluster,center0,graph+geometric0,right_minus_left,spearman,364,0.05516651491879949,0.04710056800233819,0.06445774607905218
cluster,center0,graph+geometric0,right_minus_left,rmse_z,364,-0.09310223403310187,-0.10773572271347917,-0.07932664941375457
cluster,graph+identity0,graph+geometric0,right_minus_left,pcc,364,0.001139750557616784,-0.0007793305501511996,0.0031609372598825768
cluster,graph+identity0,graph+geometric0,right_minus_left,spearman,364,0.0028002068604093566,0.00016356639626856437,0.005557386711488076
cluster,graph+identity0,graph+geometric0,right_minus_left,rmse_z,364,0.0003810981626117858,-0.0010533106592085716,0.0019386589419490882
protein,graph+center0,graph,right_minus_left,pcc,364,-0.002284774988693328,-0.005037257687724951,0.00038102672195742583
protein,graph+center0,graph,right_minus_left,spearman,364,-0.006191538661602333,-0.00954945560556155,-0.0028748844774597717
protein,graph+center0,graph,right_minus_left,rmse_z,364,0.0029319624560976013,0.0005416346154099875,0.005221378066948946
protein,graph+center0,native0,right_minus_left,pcc,364,-0.015784824410921324,-0.02258409393693526,-0.009704625410444532
protein,graph+center0,native0,right_minus_left,spearman,364,-0.010265525322727394,-0.015926683338612992,-0.004887914718067799
protein,graph+center0,native0,right_minus_left,rmse_z,364,0.06171586683463481,0.04776417475770145,0.07708979670319867
protein,graph+center0,graph+native0,right_minus_left,pcc,364,0.0014098862409577294,-0.0013096808858708729,0.004034533352972965
protein,graph+center0,graph+native0,right_minus_left,spearman,364,-0.000851595742658503,-0.004011215041341375,0.0024310249972620225
protein,graph+center0,graph+native0,right_minus_left,rmse_z,364,0.0002655221307458286,-0.001912923014421394,0.0025659326361486584
protein,graph+center0,center0,right_minus_left,pcc,364,-0.06472218158107935,-0.07653401431707914,-0.05481452272644468
protein,graph+center0,center0,right_minus_left,spearman,364,-0.05360882143762701,-0.06541859477068318,-0.043349287508610675
protein,graph+center0,center0,right_minus_left,rmse_z,364,0.09151698863983747,0.07767907829380591,0.10734449777633066
protein,graph+center0,graph+identity0,right_minus_left,pcc,364,0.0009902977919598113,-0.0012518983332270605,0.0031880955667316887
protein,graph+center0,graph+identity0,right_minus_left,spearman,364,-3.930962706138683e-05,-0.00318305356123235,0.0031180691384940433
protein,graph+center0,graph+identity0,right_minus_left,rmse_z,364,-0.0008659281751969927,-0.002710262005010956,0.0009083106744169171
protein,graph+center0,graph+geometric0,right_minus_left,pcc,364,0.0017011569287956833,-0.000250025564774804,0.0035298885855915307
protein,graph+center0,graph+geometric0,right_minus_left,spearman,364,0.0016066160416656156,-0.0012225805717557233,0.004303971955115448
protein,graph+center0,graph+geometric0,right_minus_left,rmse_z,364,-0.0010452754567232482,-0.002451534006331671,0.0004861439450746902
protein,graph,native0,right_minus_left,pcc,364,-0.013500049422227997,-0.02024541008675968,-0.007355037510136957
protein,graph,native0,right_minus_left,spearman,364,-0.004073986661125063,-0.010418994726195977,0.0020130349325584397
protein,graph,native0,right_minus_left,rmse_z,364,0.058783904378537206,0.045242228253991046,0.07410749162362118
protein,graph,graph+native0,right_minus_left,pcc,364,0.0036946612296510574,0.0013422685976633615,0.006066094637172379
protein,graph,graph+native0,right_minus_left,spearman,364,0.005339942918943829,0.0025330175411197196,0.008129216311508274
protein,graph,graph+native0,right_minus_left,rmse_z,364,-0.0026664403253517733,-0.00461414865151072,-0.0007253995672056314
protein,graph,center0,right_minus_left,pcc,364,-0.06243740659238602,-0.07464768403898918,-0.052660938203182316
protein,graph,center0,right_minus_left,spearman,364,-0.047417282776024694,-0.059612891051130414,-0.036748044654196226
protein,graph,center0,right_minus_left,rmse_z,364,0.08858502618373987,0.07480455785087856,0.10395188763754876
protein,graph,graph+identity0,right_minus_left,pcc,364,0.003275072780653139,0.0006363566463266744,0.00578682257393144
protein,graph,graph+identity0,right_minus_left,spearman,364,0.006152229034540946,0.002851835530744545,0.009424572158240063
protein,graph,graph+identity0,right_minus_left,rmse_z,364,-0.0037978906312945947,-0.0062965650300291845,-0.0014199000484575936
protein,graph,graph+geometric0,right_minus_left,pcc,364,0.003985931917489012,0.0012814878823330478,0.006506977517459494
protein,graph,graph+geometric0,right_minus_left,spearman,364,0.007798154703267948,0.004189044022686157,0.011317013668705442
protein,graph,graph+geometric0,right_minus_left,rmse_z,364,-0.003977237912820851,-0.0061659480017909754,-0.0015827218640478396
protein,native0,graph+native0,right_minus_left,pcc,364,0.017194710651879053,0.01151058136922524,0.023342856505719874
protein,native0,graph+native0,right_minus_left,spearman,364,0.009413929580068892,0.0037614607573626503,0.01521522956895167
protein,native0,graph+native0,right_minus_left,rmse_z,364,-0.06145034470388897,-0.07636625858467873,-0.04819805986029384
protein,native0,center0,right_minus_left,pcc,364,-0.04893735717015803,-0.060175193919504044,-0.03926465977372126
protein,native0,center0,right_minus_left,spearman,364,-0.04334329611489963,-0.0562802879746832,-0.03240713827051084
