run_id,descriptor,model,trees,n_proteins,n_residues,mean_pcc,pcc_ci95_low,pcc_ci95_high,mean_spearman,pooled_pcc,rmse_z
constant_6_9_12_median_rf1000,"Constant sheaf, 6/9/12, median",rf,1000,364,78419,0.604043391717878,0.5903439138920293,0.6183066895387421,0.5904696534225969,0.5812283025744014,0.8472918238909265
center_labeled_6_9_12_median_rf1000,"Center-labeled, 6/9/12, median",rf,1000,364,78419,0.5979383512595545,0.5840037127802328,0.611843204793246,0.5657569998666399,0.5622562619773759,0.845996824199075
center_labeled_7_10_13_std_rf1000,"Center-labeled, 7/10/13, std",rf,1000,364,78419,0.5970001851599831,0.5833148266833422,0.6112080005807734,0.5792815014985652,0.5687409320802007,0.8435376602556054
center_labeled_6_9_12_both_rf1000,"Center-labeled, 6/9/12, median+std",rf,1000,364,78419,0.6017599247522414,0.5880361657222938,0.6156070117348085,0.572620241696304,0.57106812306411,0.8448577270483942
center_labeled_6_9_12_both_rf2000,"Center-labeled, 6/9/12, median+std",rf,2000,364,78419,0.6020856685260372,0.5884877295876645,0.615802857591914,0.574305385878552,0.5711580065407403,0.8449666488956671
center_labeled_7_10_13_std_hgbt,"Center-labeled, 7/10/13, std",hgbt,,364,78419,0.5930710009832626,,,0.5750005285792983,0.5651891825663744,0.851257510341524
center_labeled_6_9_12_both_hgbt,"Center-labeled, 6/9/12, median+std",hgbt,,364,78419,0.5980421576563708,,,0.5688085658820795,0.5679832179457325,0.8482699524443726
