dataset,n_proteins,n_residues,pooled_pcc_model,pooled_spearman_model,pooled_rmse_model_z,mean_pcc_model,pcc_model_ci95_low,pcc_model_ci95_high,mean_spearman_model,spearman_model_ci95_low,spearman_model_ci95_high,mean_rmse_model_z,rmse_model_z_ci95_low,rmse_model_z_ci95_high,mean_pcc_expl_abs,pcc_expl_abs_ci95_low,pcc_expl_abs_ci95_high,mean_spearman_expl_abs,spearman_expl_abs_ci95_low,spearman_expl_abs_ci95_high,mean_pcc_expl_signed,pcc_expl_signed_ci95_low,pcc_expl_signed_ci95_high,mean_spearman_expl_signed,spearman_expl_signed_ci95_low,spearman_expl_signed_ci95_high,mean_jaccard_top20_abs,jaccard_top20_abs_ci95_low,jaccard_top20_abs_ci95_high
small,30,907,0.5143409852086478,0.4342380938320688,0.9624475199173713,0.5617115590589331,0.4724648493851055,0.6432003937224766,0.49972397935443197,0.42162909838105267,0.5758783240030195,1.0153171818174498,0.9220937880774217,1.1127457974188555,,,,,,,,,,,,,,,
medium,36,3246,0.5728309178890049,0.5493351199936649,0.8386213202807014,0.578565201684447,0.5224231129408166,0.6235560008561428,0.5593270504570619,0.5049893144059207,0.6066283829511864,0.8349924424588905,0.8058410374997969,0.8663019996505893,,,,,,,,,,,,,,,
large,34,5404,0.5602509466167148,0.5641738689836231,0.8304127661039025,0.568801861453677,0.5328975762588769,0.6020985547395609,0.5812958602071252,0.5424071717466934,0.6188196447860453,0.830281866811462,0.8093952600822257,0.8519912021849966,,,,,,,,,,,,,,,
365_only,264,68862,0.5741205307071167,0.5579646218561551,0.8191410037675223,0.6071557199863664,0.5919904027150266,0.6213206833781068,0.5907837655354103,0.5746296234344689,0.6063651299128401,0.8268897025697242,0.8106840853308962,0.8441843674348428,,,,,,,,,,,,,,,
all,364,78419,0.5687409320802007,0.5523639574105658,0.8225344953643491,0.5970001851599831,0.5833148266833422,0.6112080005807734,0.5792815014985652,0.5638000816282356,0.5939606185745767,0.8435376602556054,0.8279086912941817,0.859319013663919,,,,,,,,,,,,,,,
