dataset,n_proteins,n_residues,pooled_pcc_model,pooled_spearman_model,pooled_rmse_model_z,mean_pcc_model,pcc_model_ci95_low,pcc_model_ci95_high,mean_spearman_model,spearman_model_ci95_low,spearman_model_ci95_high,mean_rmse_model_z,rmse_model_z_ci95_low,rmse_model_z_ci95_high,mean_pcc_expl_abs,pcc_expl_abs_ci95_low,pcc_expl_abs_ci95_high,mean_spearman_expl_abs,spearman_expl_abs_ci95_low,spearman_expl_abs_ci95_high,mean_pcc_expl_signed,pcc_expl_signed_ci95_low,pcc_expl_signed_ci95_high,mean_spearman_expl_signed,spearman_expl_signed_ci95_low,spearman_expl_signed_ci95_high,mean_jaccard_top20_abs,jaccard_top20_abs_ci95_low,jaccard_top20_abs_ci95_high
small,30,907,0.5281993664443093,0.43804505625782586,0.9379228749678616,0.573938386796657,0.4820350699285479,0.6579130810935087,0.5003020734792013,0.4121186307090061,0.5820606187626576,0.9980685569337735,0.8995313394966035,1.1013000037220508,,,,,,,,,,,,,,,
medium,36,3246,0.5805452167076919,0.5346268264596983,0.826545094802477,0.5829216288264768,0.5285937446528388,0.627853044677533,0.5415003466980517,0.49011690404969765,0.5868664494825528,0.824666573648742,0.7916505319419818,0.8578392020800345,,,,,,,,,,,,,,,
large,34,5404,0.5619572956457711,0.5506740927342029,0.8282799340248203,0.5683616869728794,0.5323217402562669,0.6026089612409031,0.5694678739955104,0.5291878469607638,0.6079065416240729,0.8282060404872724,0.8072443850868134,0.8499765705560091,,,,,,,,,,,,,,,
365_only,264,68862,0.5651251597423228,0.5365158078249525,0.8254726766822181,0.6065224706808602,0.5914433838635121,0.6203267902719792,0.5760248695079684,0.5604547819902441,0.5913079420607702,0.8339158533050308,0.815039001583182,0.8552987944211587,,,,,,,,,,,,,,,
all,364,78419,0.5622562619773759,0.5330686773085793,0.8270984725657171,0.5979383512595545,0.5840037127802328,0.611843204793246,0.5657569998666399,0.550710135175265,0.5807425762868185,0.845996824199075,0.8292780329850776,0.863754514560482,,,,,,,,,,,,,,,
