dataset,n_proteins,n_residues,pooled_pcc_model,pooled_spearman_model,pooled_rmse_model_z,mean_pcc_model,pcc_model_ci95_low,pcc_model_ci95_high,mean_spearman_model,spearman_model_ci95_low,spearman_model_ci95_high,mean_rmse_model_z,rmse_model_z_ci95_low,rmse_model_z_ci95_high,mean_pcc_expl_abs,pcc_expl_abs_ci95_low,pcc_expl_abs_ci95_high,mean_spearman_expl_abs,spearman_expl_abs_ci95_low,spearman_expl_abs_ci95_high,mean_pcc_expl_signed,pcc_expl_signed_ci95_low,pcc_expl_signed_ci95_high,mean_spearman_expl_signed,spearman_expl_signed_ci95_low,spearman_expl_signed_ci95_high,mean_jaccard_top20_abs,jaccard_top20_abs_ci95_low,jaccard_top20_abs_ci95_high
small,30,907,0.4946848539681937,0.4307945830778745,0.99634032842357,0.5377242173637312,0.4459291663680031,0.6271695503651015,0.4698119423053971,0.36814807898296126,0.5697281631413461,1.0467911609155374,0.9439223021200358,1.1582290512998072,,,,,,,,,,,,,,,
medium,36,3246,0.5777447821443399,0.5545862805989202,0.8431398450910292,0.5804880559070837,0.5249976972117664,0.6265866676512637,0.5610580773991587,0.508212307691476,0.6093811290996286,0.8429677369025949,0.8081813500950221,0.8800710506671322,,,,,,,,,,,,,,,
large,34,5404,0.5667532829554973,0.5685613305767028,0.8267712528575182,0.5756224100844545,0.5453178098472785,0.6048218649943581,0.5945854145192746,0.553679579176399,0.6355859465684841,0.832639119080118,0.8135064687494433,0.8520989186738737,,,,,,,,,,,,,,,
365_only,264,68862,0.5888260541100134,0.5848933142704551,0.8086095910836152,0.6184520307154138,0.603291764156447,0.6323561161584197,0.6076613662751451,0.5915695646620809,0.6232208267417042,0.827098183680355,0.809615325648747,0.8468304042025787,,,,,,,,,,,,,,,
all,364,78419,0.5812283025744014,0.5756152141207134,0.8137420998404787,0.604043391717878,0.5903439138920293,0.6183066895387421,0.5904696534225969,0.5741089029800203,0.6074108493722459,0.8472918238909265,0.8301400000809454,0.8646944710280939,,,,,,,,,,,,,,,
